time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-19T11:25:08.810Z,-0.1539,124.38,58.41,5,mb,,50,1.834,0.81,us,us2000iv0l,2018-12-19T11:43:54.040Z,"74km SE of Molibagu, Indonesia",earthquake,7.2,6.5,0.062,82,reviewed,us,us
2018-12-19T04:10:41.640Z,-16.2384,167.9047,35,4.8,mb,,68,1.036,0.88,us,us2000iuz5,2018-12-19T04:33:55.040Z,"53km ESE of Lakatoro, Vanuatu",earthquake,5.8,2,0.118,22,reviewed,us,us
2018-12-19T03:38:38.490Z,30.5431,-41.8413,10,5.4,mb,,59,19.58,0.98,us,us2000iuyv,2018-12-19T04:03:58.040Z,"Northern Mid-Atlantic Ridge",earthquake,10.3,1.9,0.031,363,reviewed,us,us
2018-12-19T01:37:40.370Z,-36.1184,-101.0192,10,6.2,mww,,30,11.421,1.01,us,us2000iuya,2018-12-19T03:41:55.434Z,"Southeast of Easter Island",earthquake,10.4,1.9,0.073,18,reviewed,us,us
2018-12-18T20:38:32.180Z,-25.6438,-177.3637,124.34,5.4,mb,,50,3.622,1.4,us,us2000iuw4,2018-12-18T20:58:17.040Z,"South of the Fiji Islands",earthquake,9.3,5.5,0.046,164,reviewed,us,us
2018-12-18T19:29:43.410Z,-2.9435,138.5739,49.55,4.7,mb,,97,6.316,1.26,us,us2000iuvp,2018-12-18T20:22:03.040Z,"226km W of Abepura, Indonesia",earthquake,10.5,7.7,0.087,40,reviewed,us,us
2018-12-18T17:55:37.830Z,-27.9487,-69.3681,93.35,4.6,mb,,44,0.845,1.05,us,us2000iuur,2018-12-18T19:49:11.040Z,"115km SE of Copiapo, Chile",earthquake,6.4,7.5,0.14,17,reviewed,us,us
2018-12-18T17:21:23.010Z,35.1569,81.018,18.36,4.6,mb,,57,6.198,0.92,us,us2000iuuc,2018-12-19T15:32:07.040Z,"230km NNE of Rutog, China",earthquake,7.2,3.2,0.077,55,reviewed,us,us
2018-12-18T16:57:55.060Z,-5.4212,129.3164,246.24,4.6,mb,,64,3.217,0.72,us,us2000iut5,2018-12-18T17:18:45.040Z,"217km SSE of Saparua, Indonesia",earthquake,9.3,10.7,0.136,16,reviewed,us,us
2018-12-18T14:10:49.370Z,-21.5839,-179.1473,599.59,4.8,mb,,97,4.641,1,us,us2000iurt,2018-12-18T14:46:18.040Z,"113km SSW of Ndoi Island, Fiji",earthquake,13.2,8.8,0.095,34,reviewed,us,us
2018-12-18T12:06:14.550Z,29.7444,130.749,47.04,4.8,mww,,111,3.372,1,us,us2000iuqw,2018-12-18T13:54:41.139Z,"112km SSW of Nishinoomote, Japan",earthquake,6.1,6.4,0.08,15,reviewed,us,us
2018-12-18T05:27:48.520Z,-16.2556,167.8714,35,5,mb,,75,5.461,1.12,us,us2000iun0,2018-12-18T06:11:29.040Z,"50km ESE of Lakatoro, Vanuatu",earthquake,12.1,2,0.113,25,reviewed,us,us
2018-12-18T02:31:43.871Z,69.6662,-144.7349,10,4.7,ml,,,,0.87,ak,ak20521818,2018-12-18T17:00:02.040Z,"81km SW of Kaktovik, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-12-18T01:15:47.070Z,23.1282,143.8537,31.37,4.9,mb,,108,4.23,0.59,us,us2000iulu,2018-12-18T03:25:18.040Z,"Volcano Islands, Japan region",earthquake,11.5,5.3,0.081,48,reviewed,us,us
2018-12-18T00:28:22.220Z,-23.7781,179.9443,532.61,4.5,mb,,60,6.258,0.61,us,us2000iulh,2018-12-18T00:52:17.040Z,"South of the Fiji Islands",earthquake,12.5,9.3,0.069,62,reviewed,us,us
2018-12-17T22:01:08.280Z,-24.758,-68.0596,129.66,4.5,mb,,47,1.446,1.09,us,us2000iuk7,2018-12-17T22:40:59.040Z,"158km NNW of Antofagasta de la Sierra, Argentina",earthquake,9.3,4.2,0.171,10,reviewed,us,us
2018-12-17T21:29:13.630Z,-7.4022,128.9283,153.42,4.8,mb,,67,2.419,0.89,us,us2000iujf,2018-12-17T21:47:24.040Z,"270km WNW of Saumlaki, Indonesia",earthquake,7.8,7.2,0.084,44,reviewed,us,us
2018-12-17T21:00:26.210Z,-24.1819,-66.9489,192.95,4.7,mb,,69,1.665,0.88,us,us2000iuix,2018-12-17T21:26:03.040Z,"64km W of San Antonio de los Cobres, Argentina",earthquake,8.2,11,0.159,12,reviewed,us,us
2018-12-17T19:33:46.570Z,11.1595,-86.864,10,4.9,mb,,130,1.113,1.38,us,us2000iuhz,2018-12-17T20:04:38.040Z,"79km SSW of Masachapa, Nicaragua",earthquake,6.4,1.9,0.041,192,reviewed,us,us
2018-12-17T18:48:10.250Z,-3.5516,129.3954,41.82,4.8,mb,,62,2.917,0.94,us,us2000iuhd,2018-12-17T20:37:18.040Z,"58km ESE of Amahai, Indonesia",earthquake,4.8,7.5,0.088,40,reviewed,us,us
2018-12-17T17:23:16.340Z,-5.7355,151.4198,28.39,5.2,mww,,37,1.703,0.84,us,us2000iugn,2018-12-17T22:20:41.040Z,"142km E of Kimbe, Papua New Guinea",earthquake,7.3,4.3,0.073,18,reviewed,us,us
2018-12-17T15:52:19.640Z,-21.8728,169.9243,19.06,5,mww,,78,3.236,1.01,us,us2000iufu,2018-12-17T17:14:14.040Z,"214km E of Tadine, New Caledonia",earthquake,9.8,2.7,0.075,17,reviewed,us,us
