time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-19T15:23:45.934Z,61.4946,-149.9391,34.8,1.9,ml,,,,0.61,ak,ak20522937,2018-12-19T15:28:54.310Z,"3km SSE of Big Lake, Alaska",earthquake,,0.1,,,automatic,ak,ak
2018-12-19T15:23:12.190Z,19.4261665,-155.2836609,0.08,1.73,ml,15,144,0.005905,0.1,hv,hv70738191,2018-12-19T15:28:55.010Z,"4km W of Volcano, Hawaii",earthquake,0.23,0.2,0.43,6,automatic,hv,hv
2018-12-19T15:15:34.207Z,61.4053,-150.0843,33.2,1.9,ml,,,,0.82,ak,ak20522933,2018-12-19T15:27:45.218Z,"14km SSW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-19T15:14:40.863Z,61.4256,-150.0548,34,1.4,ml,,,,0.38,ak,ak20522932,2018-12-19T15:17:38.280Z,"11km SSW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-19T15:11:21.650Z,33.9571667,-116.7866667,12.03,1.72,ml,56,57,0.07974,0.23,ci,ci38166807,2018-12-19T15:22:37.360Z,"4km N of Cabazon, CA",earthquake,0.23,0.75,0.177,26,automatic,ci,ci
2018-12-19T15:05:23.425Z,61.4053,-150.0908,43.3,2.2,ml,,,,0.87,ak,ak20522928,2018-12-19T15:09:54.710Z,"14km SSW of Big Lake, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-12-19T15:05:04.584Z,61.5094,-149.9183,33.8,2.2,ml,,,,0.9,ak,ak20522929,2018-12-19T15:09:55.022Z,"2km SE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-19T14:50:20.480Z,32.5106667,-116.044,10.05,1.94,ml,21,108,0.0446,0.23,ci,ci38166791,2018-12-19T15:05:09.941Z,"25km S of Ocotillo, CA",earthquake,0.57,0.92,0.173,31,reviewed,ci,ci
2018-12-19T14:39:17.457Z,63.0054,-149.9335,97.7,1.6,ml,,,,0.63,ak,ak20522920,2018-12-19T14:45:24.904Z,"65km SW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-12-19T14:36:17.835Z,61.4073,-150.0509,33.3,1.7,ml,,,,0.69,ak,ak20522918,2018-12-19T14:41:32.906Z,"13km SSW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-19T14:33:36.940Z,36.2805,-115.402,13.4,1.4,ml,22,99.72,0.221,0.2098,nn,nn00670831,2018-12-19T15:25:10.880Z,"19km N of Summerlin South, Nevada",earthquake,,1.7,0.37,8,reviewed,nn,nn
